,society,subsistence
1,Adnyamathanha,huntergatherer
2,Parnkala,huntergatherer
3,Guyani,huntergatherer
4,Kaurna,foodproducer
5,Narrungga,huntergatherer
6,Nukunu,huntergatherer
7,Ngadjuri,NA
8,Wirangu,huntergatherer
9,Alyawarr,huntergatherer
10,Antekerrepenhe,NA
11,CentralAnmatyerr,huntergatherer
12,WesternArrarnta,huntergatherer
13,Kaytetye,huntergatherer
14,Badimaya,huntergatherer
15,MuliarraTribe,NA
16,Wajarri,huntergatherer
17,Kalaamaya,NA
18,IrwinMurchison,NA
19,ChampionBay,NA
20,Nhanta,NA
21,Malgana,huntergatherer
22,Bibbulman,NA
23,Pinjarra,NA
24,Kaniyang,NA
25,Wardandi,NA
26,NewNorciaandLeschenaultBay,NA
27,Watjuk,NA
28,Nyungar,huntergatherer
29,Eucla,NA
30,Mirniny,NA
31,Ngadjumaya,huntergatherer
32,Jiwarli,NA
33,Warriyangga,NA
34,Tharrgari,NA
35,Payungu,NA
36,Purduna,NA
37,Thalanyji,NA
38,Yingkarta,huntergatherer
39,Kariyarra,huntergatherer
40,Ngarluma,huntergatherer
41,Kurrama,huntergatherer
42,Yindjibarndi,huntergatherer
43,Panyjima,huntergatherer
44,Yinhawangka,NA
45,Ngarla,huntergatherer
46,Nyamal,huntergatherer
47,Martuthunira,huntergatherer
48,Bilinarra,huntergatherer
49,Mudburra,huntergatherer
50,MudburraMcC,huntergatherer
51,Gurindji,huntergatherer
52,Ngarinyman,huntergatherer
53,Malngin,huntergatherer
54,Jaru,huntergatherer
55,JaruMcC,huntergatherer
56,Ngardily,NA
57,Warlmanpa,huntergatherer
58,Warlpiri,huntergatherer
59,Warumungu,huntergatherer
60,Jiwarliny,huntergatherer
61,WalmajarriNW,huntergatherer
62,WalmajarriHR,huntergatherer
63,SouthernWalmajarri,huntergatherer
64,WalmajarriBilliluna,huntergatherer
65,Karajarri,huntergatherer
66,KarajarriNW,huntergatherer
67,NorthernNyangumarta,huntergatherer
68,Nyangumarta,huntergatherer
69,MangalaMcK,huntergatherer
70,NorthernMangarla,huntergatherer
71,MangalaNW,huntergatherer
72,Kartujarra,NA
73,Warnman,huntergatherer
74,MartuWangka,huntergatherer
75,Yulparija,huntergatherer
76,Manjiljarra,huntergatherer
77,Ngaanyatjarra,huntergatherer
78,Pitjantjatjara,huntergatherer
79,Wangkajunga,huntergatherer
80,Wangkatja,huntergatherer
81,PintupiLuritja,huntergatherer
82,Kukatja,huntergatherer
83,Arabana,huntergatherer
84,Wangkangurru,huntergatherer
85,KingsCreekandtheGeorginaRiver,NA
86,PittaPitta,huntergatherer
87,Wangkayutyuru,huntergatherer
88,RoxburghDowns-LowerGeorgina,NA
89,Badjiri,NA
90,Guwa,foodproducer
91,Yanda,foodproducer
92,CoopersCreek,huntergatherer
93,Yandruwandha,huntergatherer
94,Nhirrpi,huntergatherer
95,Yawarrawarrka,huntergatherer
96,Diyari,huntergatherer
97,MountFreelingDiyari,NA
98,Ngamini,huntergatherer
99,Yarluyandi,huntergatherer
100,Karuwali,NA
101,Mithaka,foodproducer
102,Garlali,huntergatherer
103,Kungadutyi,NA
104,Punthamara,huntergatherer
105,Wangkumara,huntergatherer
106,WangkumaraMcDWur,huntergatherer
107,Kungkari,huntergatherer
108,Pirriya,foodproducer
109,Kurnu,NA
110,Paakantyi,huntergatherer
111,Malyangapa,NA
112,Wadikali,NA
113,Yardliyawarra,NA
114,AghuTharrnggala,huntergatherer
115,Gugumini,NA
116,Kunjen,huntergatherer
117,Tagalag,NA
118,Ikarranggal,NA
119,Walangama,foodproducer
120,Olkola,NA
121,UwOykangand,NA
122,Umpithamu,NA
123,BarrowPoint,huntergatherer
124,KukuWura,huntergatherer
125,FlindersIsland,huntergatherer
126,Alngith,huntergatherer
127,Linngithigh,NA
128,Mbakwithi,NA
129,Thaynakwith,NA
130,Ntrangith,NA
131,Mbiywom,foodproducer
132,Yinwum,foodproducer
133,Nggoth,NA
134,Gudang,foodproducer
135,Injinoo,NA
136,Yadhaykenu,NA
137,Uradhi,foodproducer
138,Mpalityan,foodproducer
139,Ayapathu,huntergatherer
140,KuguNganhcara,NA
141,WikMuminh,NA
142,Pakanh,huntergatherer
143,WikMungkan,huntergatherer
144,WikNgatharr,NA
145,Kaanju,NA
146,KuukuYau,NA
147,Umpila,huntergatherer
148,KuukThaayorre,NA
149,YirYoront,NA
150,KokNar,foodproducer
151,KokoBera,huntergatherer
152,Kurtjar,NA
153,Djabugay,huntergatherer
154,Yidiny,huntergatherer
155,GraniteRange,NA
156,GuuguYimidhirr,huntergatherer
157,KukuYalanji,huntergatherer
158,KKY,huntergatherer
159,KLY,NA
160,Mabuiag,NA
161,Kukatj,NA
162,Aminungo,NA
163,LowerBurdekin,NA
164,Yambina,NA
165,Barna,NA
166,Belyando,NA
167,NatalDowns,NA
168,Biri,huntergatherer
169,Gangulu,huntergatherer
170,BidyaraGungabula,huntergatherer
171,Dharawala,NA
172,Tambo,NA
173,Wadjabangayi,NA
174,Yiningay,NA
175,Gunggari,NA
176,Guwamu,huntergatherer
177,Gunya,huntergatherer
178,Margany,huntergatherer
179,UpperParoo,NA
180,Yirandali,NA
181,Bindal,NA
182,Coonambella,NA
183,Wulguru,foodproducer
184,Dyirbal,huntergatherer
185,Nyawaygi,huntergatherer
186,Wargamay,NA
187,Gudjal,foodproducer
188,GuguBadhun,huntergatherer
189,Warungu,huntergatherer
190,Dharumbal,NA
191,Mbabaram,huntergatherer
192,Kalkatungu,huntergatherer
193,Yalarnnga,huntergatherer
194,MayiKulan,huntergatherer
195,Ngawun,huntergatherer
196,MayiYapi,NA
197,MayiThakurti,NA
198,Wanamara,NA
199,MayiKutuna,NA
200,Dhangu,huntergatherer
201,Rirratjingu,NA
202,Dhayyi,huntergatherer
203,Dhuwal,huntergatherer
204,Djambarrpuyngu,huntergatherer
205,Djapu,NA
206,Dhuwala,huntergatherer
207,Gupapuyngu,huntergatherer
208,Gumatj,huntergatherer
209,Ritharrngu,NA
210,Zorc,NA
211,Golpa,NA
212,Yannhangu,huntergatherer
213,Djinang,huntergatherer
214,Ganggalida,NA
215,Kayardild,NA
216,Lardil,NA
217,Yangkaal,NA
218,Nguburindi,NA
219,Yangarella,NA
220,Minkin,NA
221,Awabakal,huntergatherer
222,Karree,NA
223,Darkinyung,NA
224,Katthang,NA
225,SteeleGDG,NA
226,Birrpayi,NA
227,Iyora,NA
228,Dharuk,NA
229,Thanggatti,NA
230,Hawkesbury,foodproducer
231,PortMacQuarie,NA
232,Dharawal,NA
233,Thurrawal,NA
234,Dhurga,huntergatherer
235,Gundungurra,NA
236,Ngunawal,NA
237,Jaitmatang,NA
238,Ngarigu,NA
239,Moneroo,NA
240,Gamilaraay,huntergatherer
241,Kamilaroi,NA
242,Yuwaalaraay,NA
243,Ngiyambaa,NA
244,Wiradjuri,NA
245,Wailwan,NA
246,Muruwari,huntergatherer
247,Bandjalang,huntergatherer
248,Githabul,NA
249,Minjungbal,NA
250,TweedRiverandPointDangar,NA
251,NerangCreek,NA
252,NggoiMwoi,NA
253,Yugambeh,NA
254,Coobenpil,NA
255,Yugarabul,NA
256,Durubul,NA
257,Janday,NA
258,Yagara,foodproducer
259,Guwar,foodproducer
260,Batyala,NA
261,Dalla,NA
262,MaryRiverandBunyaBunyaCountry,NA
263,Bayali,huntergatherer
264,GoorengGooreng,NA
265,DawsonRiver,NA
266,WakaWaka,huntergatherer
267,Duungidjawu,NA
268,UpperBrisbaneRiver,NA
269,Bigambal,NA
270,GlenInnes,NA
271,Tenterfield,NA
272,Gumbaynggir,NA
273,Yaygirr,NA
274,Balkurra,NA
275,Ngarrindjeri,NA
276,PytuReach,NA
277,Keramin,NA
278,YithaYitha,NA
279,NedsCornerStation,NA
280,Ngaiawang,NA
281,Wellington,NA
282,Bindjali,NA
283,HOPKINSRIVER,NA
284,Keerraywoorroong,NA
285,Warrnambool,foodproducer
286,Bunganditj,NA
287,Colac,foodproducer
288,Wathawurrung,foodproducer
289,Woiwurrung,foodproducer
290,Gunditjmara,NA
291,Tjapwurrung,NA
292,WembaWemba,foodproducer
293,LakeHindmarsh,NA
294,MathiMathi,NA
295,THETATIARRACOUNTRY,NA
296,Piangil,NA
297,Wathiwathi,NA
298,Dhudhuroa,foodproducer
299,Pallanganmiddang,foodproducer
300,YabulaYabula,NA
301,YortaYorta,foodproducer
302,Bularnu,foodproducer
303,Warluwarra,NA
304,Wakaya,NA
305,Yindjilandji,huntergatherer
306,Yanyuwa,huntergatherer