Language,Latitude,Longitude
Arabana,-28.34,136.07
Wangkangurru,-25.35,137.01
Alyawarr,-21.89,135.74
Antekerrepenhe,-22.07,137.43
CentralAnmatyerr,-21.98,133.42
Kaytetye,-21.05,133.60
WesternArrarnta,-24.18,132.48
Bandjalang,-28.82,152.60
Githabul,-28.36,151.94
Minjungbal,-28.75,153.22
NerangCreek,-28.75,153.22
NggoiMwoi,-28.75,153.22
TweedRiverandPointDangar,-28.75,153.22
Yugambeh,-28.75,153.22
Bigambal,-29.07,149.92
GlenInnes,-29.54,150.93
Tenterfield,-29.54,150.93
Gamilaraay,-30.35,150.27
Kamilaroi,-30.26,150.06
Muruwari,-29.18,146.90
Ngiyambaa,-31.44,146.41
Wailwan,-31.44,146.41
Wiradjuri,-32.97,147.42
Yuwaalaraay,-29.12,148.31
Coobenpil,-27.51,153.46
Durubul,-27.33,152.95
Guwar,-27.20,153.41
Janday,-27.67,153.42
Yagara,-27.66,152.67
Yugarabul,-27.66,152.67
Garlali,-28.27,143.63
Kungadutyi,-26.22,142.04
Kungkari,-24.95,144.22
Pirriya,-25.61,143.17
Punthamara,-26.52,143.24
Wangkumara,-27.95,142.25
WangkumaraMcDWur,-26.52,143.24
Gumbaynggir,-30.11,152.57
Yaygirr,-29.85,153.21
Kalkatungu,-20.69,139.79
Yalarnnga,-22.17,139.97
Jiwarli,-23.15,116.22
Payungu,-22.65,113.94
Purduna,-23.64,114.84
Thalanyji,-22.71,114.87
Tharrgari,-23.88,115.68
Warriyangga,-23.89,117.01
Yingkarta,-25.72,114.97
Badjiri,-28.18,145.60
CoopersCreek,-28.26,140.33
Diyari,-28.62,138.51
Guwa,-22.20,142.99
Karuwali,-24.36,142.04
Mithaka,-25.34,139.64
MountFreelingDiyari,-28.93,137.46
Ngamini,-27.07,139.30
Nhirrpi,-28.10,141.57
Yanda,-22.17,141.36
Yandruwandha,-28.91,140.28
Yarluyandi,-26.02,139.26
Yawarrawarrka,-26.48,140.72
Badimaya,-28.34,117.34
ChampionBay,-28.80,114.50
IrwinMurchison,-27.67,114.20
Kalaamaya,-30.68,119.05
Malgana,-26.44,113.94
MuliarraTribe,-26.90,118.90
Nhanta,-27.58,115.19
Wajarri,-26.04,117.21
Bindjali,-35.24,140.46
Bunganditj,-37.22,140.61
Colac,-38.36,143.51
Gunditjmara,-38.16,142.24
HOPKINSRIVER,-35.24,140.46
Keerraywoorroong,-36.36,142.32
LakeHindmarsh,-35.90,141.43
MathiMathi,-34.62,144.12
Piangil,-34.69,142.27
THETATIARRACOUNTRY,-35.90,141.43
Tjapwurrung,-37.39,142.71
Warrnambool,-38.16,142.24
Wathawurrung,-38.09,144.08
Wathiwathi,-34.95,143.01
WembaWemba,-35.93,143.83
Woiwurrung,-37.80,145.22
Balkurra,-35.45,139.42
Keramin,-34.70,139.67
NedsCornerStation,-34.39,141.11
Ngaiawang,-34.52,139.67
Ngarrindjeri,-35.80,140.04
PytuReach,-35.48,139.16
Wellington,-34.59,138.87
YithaYitha,-34.01,143.80
Karajarri,-18.96,122.28
KarajarriNW,-18.96,122.28
MangalaMcK,-19.38,123.51
MangalaNW,-19.38,123.51
NorthernMangarla,-19.38,123.51
NorthernNyangumarta,-20.69,121.84
Nyangumarta,-20.69,121.84
MayiKulan,-18.56,141.81
MayiKutuna,-18.45,140.63
MayiThakurti,-18.45,140.63
MayiYapi,-19.73,141.12
Ngawun,-19.51,142.18
Wanamara,-20.92,141.73
Kariyarra,-21.23,118.26
Kurrama,-22.82,117.54
Martuthunira,-20.98,115.87
Ngarla,-20.22,119.42
Ngarluma,-20.89,116.97
Nyamal,-21.15,119.86
Panyjima,-22.58,119.61
Yindjibarndi,-22.03,117.44
Yinhawangka,-24.02,118.69
Bilinarra,-16.77,130.80
Gurindji,-17.60,130.56
Jaru,-18.16,128.46
JaruMcC,-18.16,128.46
Jiwarliny,-20.10,124.39
Malngin,-16.97,129.45
Mudburra,-17.07,131.90
MudburraMcC,-17.07,131.90
Ngardily,-18.20,128.57
Ngarinyman,-16.51,130.50
SouthernWalmajarri,-20.07,126.39
WalmajarriBilliluna,-20.07,126.39
WalmajarriHR,-20.07,126.39
WalmajarriNW,-20.07,126.39
Warlmanpa,-18.36,132.52
Warlpiri,-20.83,130.74
Warumungu,-19.13,134.21
Bibbulman,-34.43,116.08
Eucla,-31.24,128.46
Kaniyang,-33.82,116.82
Mirniny,-31.24,128.46
NewNorciaandLeschenaultBay,-29.92,115.76
Ngadjumaya,-32.12,122.94
Nyungar,-31.66,118.55
Pinjarra,-32.84,115.92
Wardandi,-33.87,115.45
Watjuk,-32.00,116.07
Kurnu,-29.97,145.68
Paakantyi,-31.02,142.77
AghuTharrnggala,-15.26,143.43
Alngith,-12.58,141.93
Aminungo,-23.62,147.58
Ayapathu,-14.55,142.73
Barna,-21.98,147.98
BarrowPoint,-14.59,144.09
Belyando,-21.76,145.93
BidyaraGungabula,-25.89,147.69
Bindal,-19.71,146.77
Biri,-21.11,146.80
Coonambella,-18.80,146.06
Dharawala,-23.68,146.93
Dharumbal,-22.42,150.12
Djabugay,-16.70,145.55
Dyirbal,-17.79,145.68
FlindersIsland,-14.09,144.27
Gangulu,-23.01,148.54
GraniteRange,-16.46,144.26
Gudang,-11.01,142.62
Gudjal,-19.23,144.83
GuguBadhun,-18.83,145.01
Gugumini,-16.13,143.95
Gunggari,-26.30,146.73
Gunya,-26.89,146.56
GuuguYimidhirr,-14.95,144.91
Guwamu,-27.61,149.03
Ikarranggal,-14.48,143.54
Injinoo,-11.01,142.62
Kaanju,-13.38,142.99
KKY,-9.38,142.44
KLY,-10.41,142.23
KokNar,-16.27,141.77
KokoBera,-15.44,141.76
KuguNganhcara,-14.30,141.88
Kukatj,-17.83,141.15
KukuWura,-15.19,144.28
KukuYalanji,-16.46,144.26
Kunjen,-16.37,142.59
Kurtjar,-16.99,141.52
KuukThaayorre,-14.85,141.85
KuukuYau,-12.57,143.04
Linngithigh,-13.23,141.80
LowerBurdekin,-19.98,147.98
Mabuiag,-9.94,142.20
Margany,-26.58,144.80
Mbabaram,-17.48,144.72
Mbakwithi,-12.15,141.99
Mbiywom,-13.01,142.32
Mpalityan,-12.31,142.50
NatalDowns,-20.96,145.56
Nggoth,-12.58,141.93
Ntrangith,-12.49,142.07
Nyawaygi,-18.80,146.06
Olkola,-16.37,142.59
Pakanh,-15.50,142.68
Tagalag,-18.20,143.02
Tambo,-25.19,146.19
Thaynakwith,-11.79,142.16
Umpila,-13.41,143.38
Umpithamu,-14.05,143.28
UpperParoo,-26.58,144.80
Uradhi,-11.55,142.33
UwOykangand,-16.37,142.59
Wadjabangayi,-24.71,145.60
Walangama,-17.65,142.29
Wargamay,-18.59,146.01
Warungu,-18.37,145.01
WikMuminh,-13.87,142.29
WikMungkan,-13.87,142.29
WikNgatharr,-13.64,141.60
Wulguru,-19.41,146.23
Yadhaykenu,-11.14,142.54
Yambina,-21.75,146.96
Yidiny,-17.26,145.79
Yiningay,-21.14,143.91
Yinwum,-12.40,142.74
Yirandali,-23.05,144.70
YirYoront,-15.10,142.07
KingsCreekandtheGeorginaRiver,-23.83,140.47
PittaPitta,-23.83,140.47
RoxburghDowns-LowerGeorgina,-23.83,140.47
Wangkayutyuru,-24.00,138.58
Ganggalida,-18.17,138.62
Kayardild,-17.06,139.43
Lardil,-16.62,139.38
Minkin,-17.86,139.72
Nguburindi,-17.86,139.72
Yangarella,-17.86,139.72
Yangkaal,-17.06,139.43
Adnyamathanha,-30.28,139.03
Guyani,-30.40,137.74
Kaurna,-34.52,138.47
Narrungga,-34.32,137.61
Ngadjuri,-32.89,139.32
Nukunu,-32.65,138.27
Parnkala,-33.22,136.37
Wirangu,-31.58,133.53
Batyala,-25.23,153.15
Bayali,-23.55,150.72
Dalla,-25.59,152.34
DawsonRiver,-26.34,151.35
Duungidjawu,-26.85,153.04
GoorengGooreng,-24.52,151.25
MaryRiverandBunyaBunyaCountry,-26.34,151.35
UpperBrisbaneRiver,-27.67,150.97
WakaWaka,-26.29,151.06
Bularnu,-19.50,139.69
Wakaya,-19.65,136.64
Warluwarra,-20.33,138.63
Yanyuwa,-15.66,136.33
Yindjilandji,-19.06,137.71
Kartujarra,-23.76,124.21
Kukatja,-20.18,127.23
Manjiljarra,-22.27,124.75
MartuWangka,-23.76,124.21
Ngaanyatjarra,-27.14,122.83
PintupiLuritja,-22.75,127.84
Pitjantjatjara,-26.58,130.79
Wangkajunga,-21.84,126.29
Wangkatja,-21.22,128.96
Warnman,-22.41,122.18
Yulparija,-21.51,123.60
Malyangapa,-30.98,141.01
Wadikali,-29.21,141.56
Yardliyawarra,-31.08,139.38
Dhangu,-12.33,136.69
Dhayyi,-12.47,135.82
Dhuwal,-12.47,135.82
Dhuwala,-12.76,136.41
Djambarrpuyngu,-12.47,135.82
Djapu,-12.47,135.82
Djinang,-12.45,134.94
Golpa,-11.68,136.22
Gumatj,-12.76,136.41
Gupapuyngu,-12.76,136.41
Rirratjingu,-11.94,136.37
Ritharrngu,-13.09,135.46
Yannhangu,-11.90,135.52
Zorc,-12.47,135.82
Dhudhuroa,-37.37,147.25
Pallanganmiddang,-36.38,146.63
YabulaYabula,-35.69,145.32
YortaYorta,-36.51,145.51
Awabakal,-33.05,151.53
Birrpayi,-31.43,152.37
Darkinyung,-32.80,150.46
Dharawal,-34.38,150.55
Dharuk,-33.34,150.24
Dhurga,-36.36,149.93
Gundungurra,-35.13,149.51
Hawkesbury,-33.34,150.24
Iyora,-33.52,151.08
Jaitmatang,-37.62,147.71
Karree,-33.05,151.33
Katthang,-31.99,152.07
Moneroo,-36.08,148.86
Ngarigu,-36.08,148.86
Ngunawal,-34.76,148.77
PortMacQuarie,-31.43,152.37
SteeleGDG,-34.38,150.55
Thanggatti,-30.82,152.41
Thurrawal,-34.38,150.55